Tulli	tull	tull	0		S	adt
     	tull	tull	0		S	sg g
     	tull	tull	0		S	sg p
     	@tuli	tule	i		V	s
     	tuli	tuli	0		S	sg n
Kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
Baroni	####	####				
      	#paruni	parun	0		S	sg g
Härrä	####	####				
     	#härra	härra	0		S	sg n
P	P	P	0		Y	?
.	.	.			Z	
von	####	####				
   	#von	von	0		H	sg n
Maijdell	####	####				
        	#Maidell	Maijdell	0		H	sg n
nink	####	####				
    	#ning	ning	0		J	
Kaiwas	####	####				
      	#kaebas	kaeba	s		V	s
Moisa	####	####				
     	#mõisa	mõis	0		S	sg g
     	mõisa	mõis	0		S	adt
     	mõisa	mõis	0		S	sg p
sullase	####	####				
       	#sulase	sulane	0		S	sg g
Peter	Peeter	Peter	0		H	sg n
Terrali	####	####				
       	#Terali	Terral	0		H	sg g
pääle	####	####				
     	#peale	peale	0		K	
     	peale	peale	0		D	
,	,	,			Z	
et	et	et	0		J	
nimmededu	####	####				
         	#nimetatud	nimeta	du		V	tud
sullane	####	####				
       	#sulane	sulane	0		S	sg n
,	,	,			Z	
ni	####	####				
  	#nii	nii	0		D	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
minna	mine	mine	a		V	da
     	£mina	mina	0		P	sg n
jo	####	####				
  	ju	ju	0		D	
  	#juba	juba	0		D	
siin	@siin	siin	0		D	
    	siin	siin	0		S	sg n
Kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
een	####	####				
   	#ees	ees	0		K	
   	ees	ees	0		D	
sel	@sel	see	l		P	sg ad
   	sel	sel	0		Y	?
15	15	15	0		N	?
Septembril	septembril	september	l		S	sg ad
se	####	####				
  	#see	see	0		P	sg n
aasta	aasta	aasta	0		S	sg g
     	@aasta	aasta	0		S	sg n
Kaiwassi	####	####				
        	#kaebas	kaeba	ssi		V	s
,	,	,			Z	
et	et	et	0		J	
allati	####	####				
      	#alati	alati	0		D	
laisklep	####	####				
        	#laiskleb	laiskle	p		V	b
nink	####	####				
    	#ning	ning	0		J	
