Astus	astus	astu	s		V	s
kohtu	kohtu	kohtu	0		V	o
     	@kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
Mihkel	@Mihkel	Mihkel	0		H	sg n
      	mihkel	mihkel	0		A	sg n
      	mihkel	mihkel	0		S	sg n
Paalberg	####	####				
        	#Paalberg	Paalberg	0		H	sg n
:	:	:			Z	
Minnol	####	####				
      	#minul	mina	l		P	sg ad
warrastatid	varras_tatt	varras_tatt	d		S	pl n
           	£varastati	varasta	tid		V	ti
23	23	23	0		N	?
rubla	rubla	rubla	0		S	sg g
     	rubla	rubla	0		S	sg n
     	@rubla	rubla	0		S	sg p
rahha	####	####				
     	raha	raha	0		S	sg g
     	#raha	raha	0		S	sg p
ahjomürri	####	####				
         	#ahjumüüri	ahju_müür	0		S	sg g
seest	seest	seest	0		D	
     	@seest	seest	0		K	
toast	toast	tuba	st		S	sg el
,	,	,			Z	
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
mul	mul	mina	l		P	sg ad
olli	####	####				
    	#oli	ole	i		V	s
48	48	48	0		N	?
rubla	rubla	rubla	0		S	sg g
     	rubla	rubla	0		S	sg n
     	@rubla	rubla	0		S	sg p
rahha	####	####				
     	raha	raha	0		S	sg g
     	#raha	raha	0		S	sg p
jääti	####	####				
     	#jäeti	jät	ti		V	ti
sinna	sinna	sinna	0		D	
järrele	####	####				
       	#järele	järele	0		D	
       	järele	järele	0		K	
25	25	25	0		N	?
rubla	rubla	rubla	0		S	sg g
     	rubla	rubla	0		S	sg n
     	@rubla	rubla	0		S	sg p
.	.	.			Z	
Se	####	####				
  	#see	see	0		P	sg n
oli	oli	ole	i		V	s
12	12	12	0		N	?
Aprillil	aprillil	aprill	l		S	sg ad
ku	####	####				
  	#kui	kui	0		J	
se	####	####				
  	#see	see	0		P	sg n
sai	@sai	saa	i		V	s
   	sai	sai	0		S	sg n
warrastud	####	####				
         	#varastatud	varasta	tud		V	tud
.	.	.			Z	
Ma	ma	mina	0		P	sg n
läksin	läksin	mine	sin		V	sin
hommiko	####	####				
       	#hommiku	hommik	0		S	sg g
kotto	####	####				
     	#kodu	kodu	0		S	sg g
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
,	,	,			Z	
pannin	####	####				
      	#panin	pane	in		V	sin
toa	toa	tuba	0		S	sg g
ukse	ukse	uks	0		S	sg g
köwwate	####	####				
       	#kõvasti	kõvasti	0		D	
kinni	kinni	kinni	0		D	
,	,	,			Z	
tullin	####	####				
      	#tulin	tule	in		V	sin
õhta	####	####				
    	#õhtu	õhtu	0		S	sg g
koio	####	####				
    	#koju	kodu	0		S	adt
pääw	####	####				
    	#päev	päev	0		S	sg n
olli	####	####				
    	#oli	ole	i		V	s
alles	alles	alles	0		D	
üllewal	####	####				
       	#üleval	üleval	0		D	
,	,	,			Z	
wähhä	####	####				
     	#vähe	vähe	0		P	sg g
aia	aed	aed	0		S	sg g
   	@aja	aeg	0		S	sg g
pärrast	####	####				
       	pärast	pära	st		S	sg el
       	pärast	pärane	t		A	sg p
       	pärast	pärast	0		D	
       	#pärast	pärast	0		K	
leitsin	####	####				
       	#leidsin	leid	sin		V	sin
et	et	et	0		J	
se	####	####				
  	#see	see	0		P	sg n
koht	koht	koht	0		S	sg n
,	,	,			Z	
ahjo	####	####				
    	#ahju	ahi	0		S	sg g
müri	####	####				
    	#müüri	müür	0		S	sg p
olli	####	####				
    	#oli	ole	i		V	s
must	mina	mina	st		P	sg el
    	@must	must	0		A	sg n
    	must	must	0		S	sg n
kos	####	####				
   	#kus	kus	0		D	
kohhas	####	####				
      	#kohas	koht	s		S	sg in
minno	####	####				
     	mind	mina	0		P	sg p
     	#minu	mina	0		P	sg g
rahha	####	####				
     	raha	raha	0		S	sg g
     	raha	raha	0		S	sg p
     	#raha	raha	0		S	sg n
olli	####	####				
    	#oli	ole	i		V	s
(	(	(			Z	
se	####	####				
  	#see	see	0		P	sg n
olli	####	####				
    	#oli	ole	i		V	s
tümma	####	####				
     	¤					
wärske	@värske	värske	0		A	sg g
      	värske	värske	0		A	sg n
      	värske	värske	0		S	sg g
      	värske	värske	0		S	sg n
suuega	####	####				
      	¤					
märitud	####	####				
       	#määritud	määri	tud		V	tud
)	)	)			Z	
.	.	.			Z	
Akkasin	####	####				
       	#hakkasin	hakka	sin		V	sin
watama	####	####				
      	#vaatama	vaata	ma		V	ma
,	,	,			Z	
leitsin	####	####				
       	#leidsin	leid	sin		V	sin
kohhe	####	####				
     	#kohe	kohe	0		D	
et	et	et	0		J	
warras	varras	varras	0		S	sg n
      	£varas	varas	0		S	sg n
oli	oli	ole	i		V	s
23	23	23	0		N	?
rbl	rbl	rbl	0		Y	?
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
wötnud	####	####				
      	#võtnud	võt	nud		V	nud
,	,	,			Z	
ja	ja	ja	0		J	
